epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.928,0.76495,4.74161,0.37233,0.84127,1.29412,0.90528,0.78388,0.89778,0.70551,0.69369,0.56654,0.51592,0.25059,0.76709,4.34665,0.34803,0.65429,1.21651,0.00332728,0.00332728,0.00332728
2,401.129,0.7377,4.81696,0.34989,0.75366,1.26058,0.86266,0.75846,0.84821,0.61167,0.56004,0.46902,0.35938,0.14184,0.97635,5.22382,0.41366,0.8608,1.38223,0.00659468,0.00659468,0.00659468
3,595.85,0.83142,5.47576,0.37521,0.85336,1.32444,0.85717,0.74915,0.85082,0.59355,0.48892,0.39432,0.28781,0.09135,0.97368,5.89799,0.40481,0.90995,1.41321,0.00979607,0.00979607,0.00979607
4,791.236,0.9174,6.10332,0.39961,0.95411,1.38081,0.82929,0.72963,0.83416,0.55834,0.51155,0.37072,0.32206,0.10651,1.06976,6.00964,0.38487,1.00192,1.46809,0.009703,0.009703,0.009703
5,988.261,0.87526,5.88735,0.39532,0.91072,1.34152,0.85445,0.745,0.84211,0.5895,0.47488,0.39773,0.2651,0.0864,0.99271,5.94277,0.40335,0.91658,1.38851,0.009604,0.009604,0.009604
6,1184.29,0.83706,5.70045,0.38712,0.87461,1.31216,0.8843,0.77094,0.87082,0.64458,0.55035,0.4668,0.34656,0.12861,0.88228,5.41465,0.38793,0.83027,1.30737,0.009505,0.009505,0.009505
7,1380.52,0.80656,5.49457,0.38239,0.84264,1.28961,0.90051,0.78275,0.88625,0.67102,0.60183,0.514,0.44441,0.17034,0.83746,5.23551,0.37478,0.74974,1.26644,0.009406,0.009406,0.009406
8,1576.19,0.78985,5.37457,0.37731,0.82162,1.28119,0.86698,0.80045,0.88799,0.67409,0.66054,0.51737,0.49724,0.20322,0.84024,4.98091,0.35615,0.77236,1.25046,0.009307,0.009307,0.009307
9,1774.94,0.76065,5.21044,0.37256,0.78923,1.25522,0.89686,0.80342,0.90325,0.69698,0.647,0.54892,0.45915,0.18935,0.80425,4.75981,0.34791,0.71738,1.22445,0.009208,0.009208,0.009208
10,1971.6,0.74675,5.1595,0.36829,0.77113,1.24539,0.90493,0.82329,0.91854,0.72737,0.6622,0.54529,0.50274,0.21636,0.73616,4.66113,0.34255,0.69085,1.15484,0.009109,0.009109,0.009109
11,2166.92,0.73098,5.04734,0.36338,0.75694,1.23293,0.88757,0.82883,0.90979,0.71482,0.62086,0.558,0.45789,0.18804,0.7548,4.67413,0.34009,0.69661,1.17726,0.00901,0.00901,0.00901
12,2363.13,0.71328,4.91305,0.35942,0.73561,1.22164,0.90054,0.8304,0.92129,0.74242,0.67486,0.58774,0.51334,0.21972,0.71116,4.45112,0.34412,0.66453,1.12939,0.008911,0.008911,0.008911
13,2561.52,0.7048,4.8491,0.35737,0.72708,1.21623,0.90439,0.8277,0.91608,0.738,0.66767,0.58972,0.54126,0.24546,0.70662,4.45985,0.33246,0.66592,1.138,0.008812,0.008812,0.008812
14,2757.39,0.70067,4.77685,0.35426,0.71924,1.2144,0.90323,0.84759,0.92324,0.75298,0.68825,0.61145,0.52365,0.23862,0.68164,4.24732,0.32479,0.63648,1.10005,0.008713,0.008713,0.008713
15,2953.77,0.68704,4.71624,0.35241,0.70459,1.20133,0.91133,0.83995,0.92709,0.7552,0.72106,0.615,0.57271,0.26564,0.68896,4.13937,0.31516,0.6242,1.11027,0.008614,0.008614,0.008614
16,3151.79,0.68171,4.62151,0.34958,0.69613,1.19941,0.90066,0.85002,0.92883,0.75766,0.72201,0.60848,0.57617,0.2812,0.68645,4.14982,0.32401,0.6033,1.11725,0.008515,0.008515,0.008515
17,3348.49,0.66881,4.59104,0.34729,0.69612,1.19311,0.91331,0.85141,0.9293,0.7629,0.71175,0.63632,0.60322,0.29418,0.6776,4.12483,0.3146,0.61386,1.09437,0.008416,0.008416,0.008416
18,3546.23,0.66979,4.52949,0.34518,0.68625,1.19268,0.91818,0.84926,0.93257,0.7726,0.73702,0.642,0.61671,0.30158,0.65169,3.95993,0.3188,0.59439,1.0836,0.008317,0.008317,0.008317
19,3743.89,0.65896,4.46241,0.34194,0.6771,1.18478,0.92583,0.86146,0.93816,0.7797,0.74222,0.6597,0.59474,0.2965,0.64231,3.89352,0.30966,0.58891,1.06307,0.008218,0.008218,0.008218
20,3942.77,0.64408,4.33517,0.33929,0.65245,1.1708,0.90288,0.85682,0.93426,0.77907,0.72776,0.65494,0.57739,0.2891,0.62443,3.81144,0.31523,0.5961,1.05386,0.008119,0.008119,0.008119
21,4138.84,0.64464,4.38134,0.33943,0.65605,1.17126,0.91601,0.85539,0.93672,0.78385,0.75098,0.66061,0.64353,0.33874,0.63253,3.75722,0.30519,0.58727,1.06685,0.00802,0.00802,0.00802
22,4335.07,0.63609,4.28376,0.33685,0.64492,1.16478,0.91925,0.86053,0.93957,0.78485,0.74185,0.66609,0.60868,0.30332,0.62814,3.79857,0.31065,0.56595,1.05947,0.007921,0.007921,0.007921
23,4531.34,0.62754,4.19366,0.33335,0.63725,1.15622,0.92436,0.86007,0.94276,0.79873,0.7735,0.67719,0.66207,0.35277,0.61947,3.67806,0.30045,0.56712,1.04189,0.007822,0.007822,0.007822
24,4728.76,0.62124,4.15439,0.33227,0.63154,1.1542,0.91452,0.87333,0.942,0.80102,0.75249,0.68649,0.63587,0.33315,0.59391,3.65996,0.29651,0.55043,1.02265,0.007723,0.007723,0.007723
25,4924.76,0.62008,4.18982,0.33356,0.63038,1.1511,0.91799,0.86902,0.94325,0.80197,0.76577,0.68725,0.63564,0.33589,0.59563,3.6062,0.29493,0.54698,1.029,0.007624,0.007624,0.007624
26,5121.29,0.61094,4.08878,0.3288,0.61838,1.1501,0.91976,0.86912,0.94445,0.80616,0.76282,0.6899,0.63706,0.33709,0.58112,3.55893,0.2986,0.54607,1.01708,0.007525,0.007525,0.007525
27,5319.66,0.60876,4.1219,0.32857,0.62279,1.14853,0.925,0.86514,0.94194,0.80409,0.78016,0.69103,0.67517,0.3659,0.59237,3.52987,0.29219,0.53915,1.02051,0.007426,0.007426,0.007426
28,5515.84,0.60379,4.04182,0.32443,0.61349,1.14037,0.93958,0.85857,0.948,0.81463,0.78987,0.69973,0.69718,0.38506,0.57515,3.41667,0.29676,0.52147,1.00595,0.007327,0.007327,0.007327
29,5712.57,0.59934,4.01859,0.32403,0.61012,1.14011,0.93524,0.86551,0.94519,0.81034,0.78863,0.70919,0.65943,0.36499,0.57335,3.38031,0.2856,0.51717,1.00052,0.007228,0.007228,0.007228
30,5911.53,0.59519,3.96361,0.32237,0.60574,1.13731,0.93391,0.85648,0.94254,0.81081,0.79526,0.70397,0.69553,0.39586,0.573,3.38656,0.28467,0.53165,1.01157,0.007129,0.007129,0.007129
